,,Total,Rural,Urbana
2000,occupied,2239199,802566,1436633
2000,unoccupied,162611,62202,100409
2000,inactive,1501971,615676,886295
2000,pea,2401810,864768,1537042
2000,pet,3903781,1480444,2423337
2001,occupied,2319065,842345,1476720
2001,unoccupied,174285,63395,110890
2001,inactive,1563171,625798,937373
2001,pea,2493350,905740,1587610
2001,pet,4056521,1531538,2524983
2002,occupied,2320957,829598,1491359
2002,unoccupied,152977,54851,98126
2002,inactive,1649246,660285,988961
2002,pea,2473934,884449,1589485
2002,pet,4123180,1544734,2578446
2003,occupied,2418050,852300,1565750
2003,unoccupied,180450,77073,103377
2003,inactive,1572980,631080,941900
2003,pea,2598500,929373,1669127
2003,pet,4171480,1560453,2611027
2004,occupied,2445577,860789,1584788
2004,unoccupied,177099,67010,110089
2004,inactive,1677050,678566,998484
2004,pea,2622676,927799,1694877
2004,pet,4299726,1606365,2693361
2005,occupied,2472958,869889,1603069
2005,unoccupied,189862,65166,124696
2005,inactive,1700923,680756,1020167
2005,pea,2662820,935055,1727765
2005,pet,4363743,1615811,2747932
2006,occupied,2568742,905887,1662855
2006,unoccupied,177601,76985,100616
2006,inactive,1703088,674682,1028406
2006,pea,2746343,982872,1763471
2006,pet,4449431,1657554,2791877
2007,occupied,2173963,698340,1475623
2007,unoccupied,146983,55840,91143
2007,inactive,1417725,521974,895751
2007,pea,2320946,754180,1566766
2007,pet,3738671,1276154,2462517
2008,occupied,2349050,723889,1625161
2008,unoccupied,146858,52009,94849
2008,inactive,1484279,520494,963785
2008,pea,2495908,775898,1720010
2008,pet,3980187,1296392,2683795
2009,occupied,2364579,764546,1600033
2009,unoccupied,187088,64514,122574
2009,inactive,1513772,557382,956390
2009,pea,2551667,829060,1722607
2009,pet,4065439,1386442,2678997
2010,occupied,2398478,786084,1612394
2010,unoccupied,181806,64656,117150
2010,inactive,1547276,590613,956663
2010,pea,2580284,850740,1729544
2010,pet,4127560,1441353,2686207
2011,occupied,2466375,842486,1623889
2011,unoccupied,174758,59677,115081
2011,inactive,1571041,579511,991530
2011,pea,2641133,902163,1738970
2011,pet,4212174,1481674,2730500
2012,occupied,2559315,863824,1695491
2012,unoccupied,165439,52791,112648
2012,inactive,1583883,594146,989737
2012,pea,2724754,916615,1808139
2012,pet,4308637,1510761,2797876
2013,occupied,2629507,888968,1740539
2013,unoccupied,165649,62567,103082
2013,inactive,1596297,609506,986791
2013,pea,2795156,951535,1843621
2013,pet,4391453,1561041,2830412
2014,occupied,2644082,886089,1757993
2014,unoccupied,198915,72108,126807
2014,inactive,1684739,654080,1030659
2014,pea,2842997,958197,1884800
2014,pet,4527736,1612277,2915459
2015,occupied,2667032,902817,1764215
2015,unoccupied,200934,77957,122977
2015,inactive,1748689,663399,1085290
2015,pea,2867966,980774,1887192
2015,pet,4616655,1644173,2972482
